#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
900043,431.00,24.63,
900096,433.00,24.86,
900146,429.00,24.40,
900198,434.00,24.98,
900248,432.00,24.75,
900300,435.00,25.09,
900350,432.00,24.75,
900403,429.00,24.40,
900453,431.00,24.63,
900505,426.00,24.06,
900555,428.00,24.29,
900606,434.00,24.98,
900659,430.00,24.52,
900709,432.00,24.75,
900761,432.00,24.75,
900811,432.00,24.75,
900862,434.00,24.98,
900915,430.00,24.52,
900966,430.00,24.52,
901017,433.00,24.86,
901067,433.00,24.86,
901118,431.00,24.63,
901170,430.00,24.52,
901221,432.00,24.75,
901273,429.00,24.40,
901323,431.00,24.63,
901376,430.00,24.52,
901427,432.00,24.75,
901477,432.00,24.75,
901529,433.00,24.86,
901579,432.00,24.75,
901632,432.00,24.75,
901682,429.00,24.40,
901734,427.00,24.17,
901784,430.00,24.52,
901836,431.00,24.63,
901888,432.00,24.75,
901939,434.00,24.98,
901989,430.00,24.52,
902041,431.00,24.63,
902092,429.00,24.40,
902144,432.00,24.75,
902195,429.00,24.40,
902246,432.00,24.75,
902297,430.00,24.52,
902347,431.00,24.63,
902398,431.00,24.63,
902450,430.00,24.52,
902502,429.00,24.40,
902552,428.00,24.29,
902604,430.00,24.52,
902656,427.00,24.17,
902707,433.00,24.86,
902757,428.00,24.29,
902809,431.00,24.63,
902860,432.00,24.75,
902910,430.00,24.52,
902963,428.00,24.29,
903014,428.00,24.29,
903065,430.00,24.52,
903116,433.00,24.86,
903168,431.00,24.63,
903219,427.00,24.17,
903269,430.00,24.52,
903320,432.00,24.75,
903371,428.00,24.29,
903422,429.00,24.40,
903475,429.00,24.40,
903525,431.00,24.63,
903576,432.00,24.75,
903628,430.00,24.52,
903680,430.00,24.52,
903730,432.00,24.75,
903781,431.00,24.63,
903833,428.00,24.29,
903884,432.00,24.75,
903934,430.00,24.52,
903987,429.00,24.40,
904038,423.00,23.71,
904089,428.00,24.29,
904140,425.00,23.94,
904192,424.00,23.83,
904242,433.00,24.86,
904294,427.00,24.17,
904344,428.00,24.29,
904396,431.00,24.63,
904448,429.00,24.40,
904499,426.00,24.06,
904550,423.00,23.71,
904600,428.00,24.29,
904651,424.00,23.83,
904702,429.00,24.40,
904754,427.00,24.17,
904805,429.00,24.40,
904856,430.00,24.52,
904908,428.00,24.29,
904960,428.00,24.29,
905010,430.00,24.52,
905061,427.00,24.17,
905112,427.00,24.17,
905164,430.00,24.52,
905216,429.00,24.40,
905267,428.00,24.29,
905318,428.00,24.29,
905369,429.00,24.40,
905420,428.00,24.29,
905470,423.00,23.71,
905523,422.00,23.60,
905574,425.00,23.94,
905625,428.00,24.29,
905676,426.00,24.06,
905726,423.00,23.71,
905778,423.00,23.71,
905829,267.00,5.75,
905881,216.00,-0.13,
905931,215.00,-0.24,
905984,214.00,-0.36,
906035,213.00,-0.47,
906086,212.00,-0.59,
906137,212.00,-0.59,
906187,213.00,-0.47,
906238,212.00,-0.59,
906291,213.00,-0.47,
906341,213.00,-0.47,
906393,212.00,-0.59,
906444,213.00,-0.47,
906496,212.00,-0.59,
906546,214.00,-0.36,
906597,213.00,-0.47,
906649,212.00,-0.59,
906700,213.00,-0.47,
906752,213.00,-0.47,
906802,212.00,-0.59,
906854,211.00,-0.70,
906905,214.00,-0.36,
906956,212.00,-0.59,
907008,212.00,-0.59,
907059,212.00,-0.59,
907109,212.00,-0.59,
907161,213.00,-0.47,
907211,213.00,-0.47,
907262,211.00,-0.70,
907315,212.00,-0.59,
907365,213.00,-0.47,
907417,211.00,-0.70,
907468,212.00,-0.59,
907518,212.00,-0.59,
